id_viagem,id_rota,id_veiculo,id_motorista,mes,km_rodado,retorno_vazio,volume_m3,custo_combustivel,custo_pedagio,custo_manutencao_rateado,faturamento_viagem
ROT-01-00016,ROT-01,VEI-024,MOT-08,2025-01-01,194.3,True,23.5,398.34,56.64,23.07,1520.63
ROT-01-00017,ROT-01,VEI-033,MOT-31,2025-03-01,189.6,False,27.8,363.24,52.78,20.56,2509.17
ROT-01-00018,ROT-01,VEI-005,MOT-02,2025-04-01,192.8,True,23.6,381.2,48.34,19.98,1517.02
ROT-01-00019,ROT-01,VEI-044,MOT-06,2025-05-01,188.6,False,27.4,401.21,55.19,15.55,2369.2
ROT-01-00020,ROT-01,VEI-002,MOT-16,2025-11-01,190.9,False,26.0,419.2,50.92,20.89,2240.09
ROT-01-00021,ROT-01,VEI-031,MOT-18,2025-11-01,187.6,True,23.2,382.93,44.93,19.89,1375.21
ROT-01-00022,ROT-01,VEI-049,MOT-36,2025-10-01,194.4,True,21.2,385.5,48.37,24.89,1207.69
ROT-01-00023,ROT-01,VEI-032,MOT-35,2025-12-01,194.2,True,23.9,411.36,45.45,26.79,1528.32
ROT-01-00024,ROT-01,VEI-047,MOT-14,2025-02-01,193.1,False,22.5,383.88,36.73,19.72,2669.19
ROT-01-00025,ROT-01,VEI-009,MOT-25,2025-06-01,193.1,True,26.8,342.39,46.15,16.29,1458.25
ROT-01-00026,ROT-01,VEI-038,MOT-40,2025-07-01,191.6,True,25.6,381.76,47.01,22.37,1425.42
ROT-01-00027,ROT-01,VEI-026,MOT-31,2025-03-01,186.6,False,21.5,385.41,37.56,15.81,2368.47
ROT-01-00028,ROT-01,VEI-029,MOT-35,2025-12-01,192.4,True,19.6,367.16,58.42,21.96,1554.7
ROT-01-00029,ROT-01,VEI-050,MOT-04,2025-10-01,191.8,False,27.2,378.35,41.96,18.79,2445.32
ROT-01-00030,ROT-01,VEI-010,MOT-08,2025-01-01,185.9,False,25.7,377.38,33.02,17.13,2255.77
ROT-01-00031,ROT-01,VEI-022,MOT-30,2025-06-01,195.3,True,20.2,373.85,47.81,15.83,1378.17
ROT-01-00032,ROT-01,VEI-052,MOT-01,2025-02-01,187.4,False,20.2,409.04,43.33,20.47,2673.33
ROT-01-00033,ROT-01,VEI-019,MOT-36,2025-02-01,186.1,False,28.7,355.47,29.76,23.53,2494.46
ROT-01-00034,ROT-01,VEI-044,MOT-11,2025-05-01,186.7,False,28.6,416.54,39.78,15.36,2674.79
ROT-01-00035,ROT-01,VEI-053,MOT-07,2025-10-01,194.7,False,25.3,390.97,55.63,23.35,2883.92
ROT-01-00036,ROT-01,VEI-028,MOT-08,2025-11-01,188.1,False,18.2,421.47,54.33,20.59,2710.15
ROT-01-00037,ROT-01,VEI-017,MOT-07,2025-08-01,192.9,True,18.9,373.1,36.05,19.54,1357.05
ROT-01-00038,ROT-01,VEI-032,MOT-31,2025-07-01,187.5,False,26.2,411.51,43.24,15.04,2652.36
ROT-01-00039,ROT-01,VEI-037,MOT-44,2025-12-01,187.1,True,27.6,390.63,36.01,18.47,1518.54
ROT-01-00040,ROT-01,VEI-006,MOT-24,2025-10-01,192.3,True,27.8,462.22,48.69,15.86,1396.19
ROT-01-00041,ROT-01,VEI-051,MOT-27,2025-04-01,194.0,True,21.3,375.26,52.68,19.76,1441.76
ROT-01-00042,ROT-01,VEI-044,MOT-05,2025-05-01,194.1,True,27.1,378.28,57.87,20.67,1484.1
ROT-01-00043,ROT-01,VEI-059,MOT-03,2025-06-01,192.3,True,18.3,370.24,56.28,18.14,1472.3
ROT-01-00044,ROT-01,VEI-013,MOT-14,2025-06-01,189.6,False,23.4,377.92,40.03,16.19,2252.67
ROT-01-00045,ROT-01,VEI-033,MOT-07,2025-04-01,187.4,True,18.8,381.74,36.14,24.68,1514.03
ROT-01-00046,ROT-01,VEI-022,MOT-14,2025-08-01,190.8,False,18.9,370.06,59.33,16.16,2553.08
ROT-01-00047,ROT-01,VEI-024,MOT-01,2025-04-01,194.2,False,18.1,373.51,43.45,25.86,2192.68
ROT-01-00048,ROT-01,VEI-039,MOT-10,2025-05-01,193.6,False,23.4,413.17,41.42,16.05,2432.87
ROT-01-00049,ROT-01,VEI-044,MOT-07,2025-04-01,186.0,True,24.8,347.6,49.47,23.31,1258.06
ROT-01-00050,ROT-01,VEI-051,MOT-01,2025-08-01,192.9,False,27.6,381.63,36.57,23.3,2500.39
ROT-01-00051,ROT-01,VEI-017,MOT-37,2025-07-01,186.2,False,27.8,370.04,48.22,24.46,2348.26
ROT-01-00052,ROT-01,VEI-011,MOT-17,2025-05-01,188.5,False,26.2,390.84,32.32,25.88,2770.74
ROT-01-00053,ROT-01,VEI-010,MOT-41,2025-04-01,185.5,True,20.1,368.41,61.58,15.41,1257.63
ROT-01-00054,ROT-01,VEI-032,MOT-38,2025-09-01,189.7,False,18.8,379.85,46.92,22.13,2651.72
ROT-01-00055,ROT-01,VEI-043,MOT-36,2025-03-01,189.3,True,22.2,333.46,56.81,16.68,1481.77
ROT-01-00056,ROT-01,VEI-014,MOT-38,2025-04-01,193.2,True,28.5,370.6,46.59,24.41,1384.78
ROT-01-00057,ROT-01,VEI-029,MOT-44,2025-04-01,186.2,True,21.4,382.14,35.99,16.59,1316.81
ROT-01-00058,ROT-01,VEI-035,MOT-39,2025-03-01,191.0,True,18.4,358.44,57.49,18.7,1325.47
ROT-01-00059,ROT-01,VEI-015,MOT-42,2025-05-01,192.9,True,28.6,406.5,40.92,25.37,1274.51
ROT-01-00060,ROT-01,VEI-037,MOT-21,2025-06-01,189.3,False,29.2,369.87,55.36,21.44,2181.94
ROT-01-00061,ROT-01,VEI-042,MOT-30,2025-02-01,195.4,False,19.5,389.03,33.34,16.9,2408.4
ROT-01-00062,ROT-01,VEI-001,MOT-36,2025-01-01,184.7,False,25.3,409.36,48.7,20.71,2448.06
ROT-01-00063,ROT-01,VEI-030,MOT-43,2025-12-01,192.7,False,30.0,387.0,60.23,20.96,2723.53
ROT-01-00064,ROT-01,VEI-012,MOT-22,2025-09-01,195.6,True,23.4,423.05,66.34,20.75,1588.04
ROT-01-00065,ROT-01,VEI-047,MOT-03,2025-11-01,188.9,True,27.1,440.73,45.27,20.22,1322.9
ROT-01-00066,ROT-01,VEI-022,MOT-26,2025-09-01,185.0,False,24.8,347.95,57.44,17.78,2207.94
ROT-01-00067,ROT-01,VEI-017,MOT-05,2025-02-01,187.5,True,27.1,405.65,40.24,23.35,1211.13
ROT-01-00068,ROT-01,VEI-024,MOT-08,2025-04-01,192.2,False,21.6,391.76,30.15,20.82,2559.16
ROT-01-00069,ROT-01,VEI-037,MOT-02,2025-02-01,187.2,True,25.3,393.22,33.85,24.23,1165.45
ROT-01-00070,ROT-01,VEI-004,MOT-41,2025-07-01,186.6,True,20.4,413.67,38.69,22.84,1535.66
ROT-01-00071,ROT-01,VEI-026,MOT-17,2025-12-01,195.1,True,24.3,442.57,56.68,20.2,1321.31
ROT-01-00072,ROT-01,VEI-055,MOT-30,2025-12-01,184.7,False,18.9,384.03,40.02,15.69,2054.52
ROT-01-00073,ROT-01,VEI-031,MOT-43,2025-01-01,194.9,False,20.5,397.4,29.6,18.93,2892.41
ROT-01-00074,ROT-01,VEI-016,MOT-08,2025-08-01,191.5,True,21.8,406.11,37.13,15.66,1212.04
ROT-01-00075,ROT-01,VEI-037,MOT-02,2025-11-01,191.5,True,19.9,357.49,41.58,19.79,1195.15
ROT-01-00076,ROT-01,VEI-042,MOT-45,2025-08-01,192.0,False,25.4,393.42,38.8,23.21,2843.47
ROT-01-00077,ROT-01,VEI-012,MOT-42,2025-10-01,193.6,False,24.2,376.64,63.53,16.4,2229.74
ROT-01-00078,ROT-01,VEI-016,MOT-03,2025-05-01,193.6,False,23.4,422.23,30.4,27.02,2886.11
ROT-01-00079,ROT-01,VEI-060,MOT-09,2025-09-01,187.1,False,22.8,358.26,46.96,15.07,2389.21
ROT-01-00080,ROT-01,VEI-046,MOT-43,2025-10-01,192.4,False,28.4,372.76,41.05,19.17,2839.48
ROT-01-00081,ROT-01,VEI-056,MOT-10,2025-03-01,190.0,True,18.6,426.46,50.52,15.93,1363.53
ROT-01-00082,ROT-01,VEI-012,MOT-20,2025-02-01,189.3,False,29.4,399.61,59.96,23.4,2634.42
ROT-01-00083,ROT-01,VEI-028,MOT-01,2025-07-01,190.9,True,27.8,374.63,55.29,17.87,1352.56
ROT-01-00084,ROT-01,VEI-046,MOT-02,2025-06-01,190.4,True,23.1,390.3,30.73,18.6,1159.87
ROT-01-00085,ROT-01,VEI-004,MOT-04,2025-12-01,190.5,True,24.0,389.88,53.59,17.54,1532.16
ROT-01-00086,ROT-01,VEI-016,MOT-32,2025-03-01,189.9,False,28.3,404.63,58.99,19.01,2636.06
ROT-01-00087,ROT-01,VEI-018,MOT-35,2025-12-01,188.1,False,29.1,349.92,58.59,22.18,2354.41
ROT-01-00088,ROT-01,VEI-018,MOT-25,2025-12-01,185.1,True,25.5,416.49,52.54,27.27,1519.18
ROT-01-00089,ROT-01,VEI-012,MOT-05,2025-05-01,194.4,False,20.1,407.79,37.05,27.38,2821.58
ROT-01-00090,ROT-01,VEI-007,MOT-05,2025-01-01,190.2,True,24.2,351.62,33.33,16.93,1486.29
ROT-01-00091,ROT-01,VEI-056,MOT-43,2025-08-01,194.8,True,18.2,385.92,34.46,18.16,1428.64
ROT-01-00092,ROT-01,VEI-041,MOT-28,2025-04-01,189.2,True,26.0,352.96,43.48,21.27,1521.06
ROT-01-00093,ROT-01,VEI-007,MOT-10,2025-06-01,187.1,False,21.7,371.94,42.81,21.59,2714.73
ROT-01-00094,ROT-01,VEI-059,MOT-13,2025-08-01,185.4,True,29.9,365.72,38.96,27.27,1127.68
ROT-01-00095,ROT-01,VEI-021,MOT-39,2025-09-01,186.1,True,19.0,413.12,49.98,19.04,1170.64
ROT-01-00096,ROT-01,VEI-004,MOT-12,2025-10-01,193.5,False,19.7,392.82,53.38,21.28,2796.71
ROT-01-00097,ROT-01,VEI-023,MOT-04,2025-10-01,188.7,False,19.4,358.72,57.24,24.76,2270.23
ROT-01-00098,ROT-01,VEI-005,MOT-32,2025-10-01,192.5,False,23.0,396.98,35.64,24.02,2671.11
ROT-01-00099,ROT-01,VEI-040,MOT-19,2025-12-01,190.2,False,23.6,426.61,39.36,27.45,2332.65
ROT-01-00100,ROT-01,VEI-016,MOT-04,2025-10-01,189.0,False,29.4,381.92,65.93,23.12,2134.46
ROT-01-00101,ROT-01,VEI-023,MOT-12,2025-09-01,190.0,True,24.6,366.18,42.47,19.25,1400.97
ROT-01-00102,ROT-01,VEI-043,MOT-14,2025-03-01,195.0,True,24.8,404.49,43.76,28.71,1230.58
ROT-01-00103,ROT-01,VEI-005,MOT-21,2025-10-01,194.2,False,21.5,370.63,40.37,27.7,2200.67
ROT-01-00104,ROT-01,VEI-014,MOT-21,2025-04-01,192.9,False,19.8,366.77,40.38,22.84,2695.05
ROT-01-00105,ROT-01,VEI-031,MOT-28,2025-02-01,194.1,True,25.1,324.05,46.96,25.98,1215.64
ROT-01-00106,ROT-01,VEI-044,MOT-08,2025-04-01,190.9,False,27.4,406.28,30.83,24.84,2250.73
ROT-01-00107,ROT-01,VEI-015,MOT-30,2025-11-01,187.3,True,25.1,361.87,63.0,15.15,1213.07
ROT-01-00108,ROT-01,VEI-009,MOT-31,2025-06-01,193.6,False,24.1,383.3,54.41,19.42,2197.35
ROT-01-00109,ROT-01,VEI-052,MOT-03,2025-05-01,189.6,False,25.2,397.04,45.12,20.27,2526.92
ROT-01-00110,ROT-01,VEI-044,MOT-04,2025-05-01,195.1,True,22.9,442.32,63.87,25.26,1382.79
ROT-01-00111,ROT-01,VEI-033,MOT-31,2025-08-01,193.6,False,29.6,372.44,33.97,26.74,2359.66
ROT-01-00112,ROT-01,VEI-032,MOT-39,2025-05-01,191.2,False,19.0,378.14,31.21,28.22,2774.6
ROT-01-00113,ROT-01,VEI-034,MOT-15,2025-11-01,187.8,True,28.6,330.15,32.85,21.57,1237.86
ROT-01-00114,ROT-01,VEI-050,MOT-45,2025-11-01,191.6,False,27.6,381.38,47.03,21.93,2865.92
ROT-01-00115,ROT-01,VEI-047,MOT-31,2025-05-01,185.3,False,29.0,372.74,37.49,22.03,2275.43
ROT-01-00116,ROT-01,VEI-053,MOT-19,2025-02-01,185.3,True,19.0,451.4,38.65,26.5,1485.1
ROT-01-00117,ROT-01,VEI-026,MOT-32,2025-12-01,195.0,True,18.0,394.9,66.78,26.02,1205.19
ROT-01-00118,ROT-01,VEI-025,MOT-02,2025-05-01,194.8,False,26.6,395.2,62.0,20.47,2219.46
ROT-01-00119,ROT-01,VEI-043,MOT-01,2025-09-01,192.6,True,22.6,356.84,50.45,22.44,1566.81
ROT-01-00120,ROT-01,VEI-002,MOT-33,2025-10-01,195.7,False,22.4,412.24,34.31,28.2,2298.08
ROT-01-00121,ROT-01,VEI-010,MOT-09,2025-04-01,184.4,False,25.2,360.78,54.7,15.3,2096.18
ROT-01-00122,ROT-01,VEI-059,MOT-05,2025-07-01,184.9,False,26.8,386.39,50.53,15.39,2208.61
ROT-01-00123,ROT-01,VEI-025,MOT-04,2025-06-01,194.5,True,24.4,354.75,65.72,17.9,1352.39
ROT-01-00124,ROT-01,VEI-006,MOT-08,2025-05-01,192.5,False,26.8,365.56,31.77,24.93,2866.22
ROT-01-00125,ROT-01,VEI-054,MOT-36,2025-07-01,184.5,False,20.1,346.39,46.96,22.69,2759.69
ROT-01-00126,ROT-01,VEI-039,MOT-27,2025-06-01,188.8,False,23.6,364.34,42.12,21.62,2288.82
ROT-01-00127,ROT-01,VEI-049,MOT-07,2025-09-01,187.1,True,23.3,371.89,59.37,26.07,1273.23
ROT-01-00128,ROT-01,VEI-046,MOT-03,2025-11-01,194.6,True,24.7,374.62,54.49,28.64,1236.59
ROT-01-00129,ROT-01,VEI-054,MOT-39,2025-08-01,195.3,False,27.6,404.81,63.29,20.08,2701.5
ROT-01-00130,ROT-01,VEI-040,MOT-29,2025-04-01,190.1,False,20.4,354.85,58.59,25.97,2597.25
ROT-01-00131,ROT-01,VEI-040,MOT-21,2025-04-01,188.0,False,19.0,353.13,49.86,23.16,2403.68
ROT-01-00132,ROT-01,VEI-032,MOT-36,2025-06-01,192.6,False,26.9,405.46,32.27,22.72,2598.04
ROT-01-00133,ROT-01,VEI-037,MOT-17,2025-03-01,194.8,False,18.7,388.17,39.4,25.09,2438.6
ROT-01-00134,ROT-01,VEI-060,MOT-22,2025-05-01,189.9,False,26.3,384.89,54.24,20.29,2602.95
ROT-01-00135,ROT-01,VEI-006,MOT-23,2025-04-01,188.2,False,23.5,353.12,28.9,21.63,2236.24
ROT-01-00136,ROT-01,VEI-028,MOT-24,2025-02-01,185.1,False,28.7,402.27,31.66,22.85,2130.63
ROT-01-00137,ROT-01,VEI-047,MOT-21,2025-05-01,194.5,True,22.3,320.28,33.75,19.9,1294.28
ROT-01-00138,ROT-01,VEI-035,MOT-17,2025-05-01,195.5,True,27.5,384.77,52.01,21.57,1307.01
ROT-01-00139,ROT-01,VEI-044,MOT-32,2025-09-01,193.7,False,19.6,409.32,60.79,28.95,2604.1
ROT-01-00140,ROT-01,VEI-059,MOT-41,2025-03-01,195.5,False,25.7,394.3,43.81,24.18,2875.24
ROT-01-00141,ROT-01,VEI-057,MOT-01,2025-11-01,187.7,True,18.3,330.12,44.82,25.5,1232.34
ROT-01-00142,ROT-01,VEI-011,MOT-26,2025-04-01,192.0,False,20.3,358.65,57.4,17.9,2180.85
ROT-01-00143,ROT-01,VEI-031,MOT-04,2025-08-01,189.6,True,27.6,364.11,64.28,26.31,1416.96
ROT-01-00144,ROT-01,VEI-031,MOT-42,2025-07-01,193.7,False,27.0,409.34,61.2,19.53,2651.47
ROT-01-00145,ROT-01,VEI-009,MOT-24,2025-03-01,190.2,True,21.9,393.69,47.23,20.12,1327.07
ROT-01-00146,ROT-01,VEI-051,MOT-07,2025-06-01,192.1,False,29.8,337.05,48.32,16.61,2414.53
ROT-01-00147,ROT-01,VEI-031,MOT-41,2025-11-01,195.1,True,27.1,433.65,49.13,26.51,1369.9
ROT-01-00148,ROT-01,VEI-050,MOT-40,2025-07-01,190.1,True,21.7,384.74,66.08,19.66,1245.6
ROT-01-00149,ROT-01,VEI-014,MOT-17,2025-05-01,195.0,True,29.6,411.06,54.49,21.44,1264.45
ROT-01-00150,ROT-01,VEI-014,MOT-25,2025-06-01,185.5,True,22.9,374.71,47.71,27.7,1416.33
ROT-01-00151,ROT-01,VEI-019,MOT-23,2025-02-01,186.0,False,19.9,356.37,63.0,19.28,2186.67
ROT-01-00152,ROT-01,VEI-057,MOT-08,2025-11-01,191.7,False,18.1,420.19,38.6,25.81,2483.81
ROT-01-00153,ROT-01,VEI-055,MOT-21,2025-02-01,190.4,False,26.1,331.42,58.94,16.15,2471.31
ROT-01-00154,ROT-01,VEI-001,MOT-41,2025-06-01,185.5,True,21.0,325.73,55.45,25.91,1407.22
ROT-01-00155,ROT-01,VEI-059,MOT-10,2025-03-01,187.9,True,23.3,380.94,44.02,25.18,1168.08
ROT-01-00156,ROT-01,VEI-049,MOT-17,2025-12-01,189.8,False,25.8,434.99,32.46,17.58,2321.9
ROT-01-00157,ROT-01,VEI-030,MOT-32,2025-04-01,187.5,False,29.9,386.62,29.37,18.91,2664.93
ROT-01-00158,ROT-01,VEI-030,MOT-42,2025-02-01,191.1,True,22.3,377.01,61.69,19.85,1236.21
ROT-01-00159,ROT-01,VEI-028,MOT-26,2025-12-01,184.3,True,28.2,377.72,41.14,25.01,1383.35
ROT-01-00160,ROT-01,VEI-023,MOT-12,2025-07-01,188.9,False,26.3,339.15,35.44,27.88,2430.08
ROT-01-00161,ROT-01,VEI-020,MOT-02,2025-01-01,192.5,False,19.0,321.99,31.3,17.97,2271.38
ROT-01-00162,ROT-01,VEI-044,MOT-21,2025-06-01,188.0,True,27.8,353.16,32.08,25.67,1358.01
ROT-01-00163,ROT-01,VEI-017,MOT-04,2025-05-01,189.3,True,24.5,412.01,60.89,26.06,1279.33
ROT-01-00164,ROT-01,VEI-037,MOT-24,2025-11-01,194.4,True,25.9,431.92,60.21,27.29,1385.45
ROT-01-00165,ROT-01,VEI-002,MOT-11,2025-01-01,193.9,False,21.2,355.45,42.09,25.92,2778.0
ROT-01-00166,ROT-01,VEI-049,MOT-02,2025-04-01,186.2,True,23.6,331.76,62.99,27.5,1425.25
ROT-01-00167,ROT-01,VEI-009,MOT-41,2025-02-01,192.0,True,22.5,398.15,60.79,19.07,1195.22
ROT-01-00168,ROT-01,VEI-059,MOT-02,2025-05-01,188.0,False,18.1,335.07,61.9,26.29,2540.82
ROT-01-00169,ROT-01,VEI-022,MOT-10,2025-04-01,190.7,True,28.5,368.63,48.16,17.4,1244.11
ROT-01-00170,ROT-01,VEI-033,MOT-43,2025-08-01,188.1,True,22.9,351.83,39.01,20.11,1275.38
ROT-01-00171,ROT-01,VEI-058,MOT-31,2025-05-01,188.6,False,24.0,351.69,58.29,21.86,2420.34
ROT-01-00172,ROT-01,VEI-038,MOT-38,2025-03-01,192.9,False,27.7,387.18,56.75,17.55,2661.09
ROT-01-00173,ROT-01,VEI-033,MOT-12,2025-09-01,187.2,True,19.4,376.52,28.82,23.59,1440.66
ROT-01-00174,ROT-01,VEI-026,MOT-39,2025-11-01,185.8,False,28.1,366.52,35.05,18.34,2386.75
ROT-01-00175,ROT-01,VEI-008,MOT-38,2025-10-01,186.3,False,22.1,374.65,47.73,23.85,2232.43
ROT-01-00176,ROT-01,VEI-052,MOT-29,2025-07-01,192.7,False,18.8,414.0,51.13,19.09,2454.01
ROT-01-00177,ROT-01,VEI-043,MOT-44,2025-09-01,190.2,False,21.0,371.71,42.36,25.61,2425.02
ROT-01-00178,ROT-01,VEI-009,MOT-26,2025-07-01,189.5,True,18.1,346.56,39.55,22.28,1295.5
ROT-01-00179,ROT-01,VEI-020,MOT-15,2025-01-01,184.9,False,29.2,398.08,43.19,19.63,2157.68
ROT-01-00180,ROT-01,VEI-022,MOT-43,2025-12-01,193.2,False,26.1,374.24,37.85,22.42,2668.56
ROT-01-00181,ROT-01,VEI-049,MOT-30,2025-08-01,188.7,False,28.1,366.33,38.44,18.93,2825.13
ROT-01-00182,ROT-01,VEI-010,MOT-37,2025-12-01,184.8,False,25.8,370.16,58.77,17.33,2553.92
ROT-01-00183,ROT-01,VEI-046,MOT-34,2025-03-01,186.1,False,20.4,393.96,59.15,18.21,2116.71
ROT-01-00184,ROT-01,VEI-042,MOT-04,2025-05-01,190.0,False,27.4,356.64,47.38,21.68,2435.34
ROT-01-00185,ROT-01,VEI-024,MOT-12,2025-08-01,188.9,True,21.5,373.18,37.72,25.47,1190.4
ROT-01-00186,ROT-01,VEI-055,MOT-20,2025-07-01,190.3,True,20.9,425.91,47.65,24.21,1558.35
ROT-01-00187,ROT-01,VEI-046,MOT-02,2025-03-01,194.0,False,23.4,370.39,38.37,28.45,2187.51
ROT-01-00188,ROT-01,VEI-021,MOT-39,2025-09-01,191.8,False,21.3,368.9,44.49,23.35,2180.16
ROT-01-00189,ROT-01,VEI-010,MOT-11,2025-03-01,194.5,True,22.7,387.19,65.92,27.86,1530.51
ROT-01-00190,ROT-01,VEI-034,MOT-23,2025-12-01,184.7,False,18.8,419.38,28.0,18.98,2181.46
ROT-01-00191,ROT-01,VEI-046,MOT-07,2025-03-01,184.5,False,18.9,371.01,53.04,19.53,2649.94
ROT-01-00192,ROT-01,VEI-002,MOT-38,2025-05-01,188.0,False,29.2,322.16,41.43,26.89,2777.35
ROT-01-00193,ROT-01,VEI-060,MOT-05,2025-10-01,188.3,True,28.4,389.28,36.97,22.53,1266.61
ROT-01-00194,ROT-01,VEI-019,MOT-39,2025-02-01,188.2,True,18.5,427.58,65.47,17.93,1328.26
ROT-01-00195,ROT-01,VEI-043,MOT-34,2025-12-01,195.4,True,21.5,377.57,33.05,28.33,1540.79
ROT-01-00196,ROT-01,VEI-010,MOT-42,2025-03-01,191.1,False,26.3,351.56,43.34,18.5,2324.65
ROT-01-00197,ROT-01,VEI-057,MOT-22,2025-02-01,186.3,False,28.6,354.94,53.78,21.3,2258.58
ROT-01-00198,ROT-01,VEI-047,MOT-23,2025-04-01,195.3,True,24.9,405.62,40.92,26.68,1230.6
ROT-01-00199,ROT-01,VEI-030,MOT-23,2025-05-01,192.7,False,28.0,412.7,56.29,28.59,2333.77
ROT-01-00200,ROT-01,VEI-024,MOT-12,2025-11-01,186.7,True,23.3,398.99,57.08,15.16,1516.87
ROT-01-00201,ROT-01,VEI-022,MOT-19,2025-07-01,187.1,True,28.0,382.87,55.63,19.33,1322.6
ROT-01-00202,ROT-01,VEI-015,MOT-27,2025-12-01,188.4,False,27.4,331.0,62.03,20.14,2637.16
ROT-01-00203,ROT-01,VEI-014,MOT-15,2025-11-01,191.6,True,24.4,411.87,49.31,16.81,1577.04
ROT-01-00204,ROT-01,VEI-037,MOT-18,2025-04-01,184.7,False,24.4,353.67,58.03,20.38,2558.98
ROT-01-00205,ROT-01,VEI-056,MOT-35,2025-12-01,193.7,False,18.6,368.4,55.95,27.84,2340.37
ROT-01-00206,ROT-01,VEI-042,MOT-24,2025-06-01,194.3,True,22.9,408.99,29.36,18.69,1316.92
ROT-01-00207,ROT-01,VEI-039,MOT-02,2025-10-01,185.5,False,23.1,341.98,38.39,19.52,2600.01
ROT-01-00208,ROT-01,VEI-013,MOT-31,2025-07-01,191.1,False,24.7,365.83,38.89,22.23,2627.42
ROT-01-00209,ROT-01,VEI-004,MOT-13,2025-06-01,185.3,False,24.0,417.88,55.97,25.4,2505.57
ROT-01-00210,ROT-01,VEI-020,MOT-29,2025-05-01,185.3,False,26.9,393.64,51.57,22.64,2326.23
ROT-01-00211,ROT-01,VEI-034,MOT-45,2025-11-01,190.8,False,28.9,353.05,56.76,27.6,2149.48
ROT-01-00212,ROT-01,VEI-058,MOT-36,2025-02-01,189.6,False,21.6,444.52,59.7,15.63,2306.21
ROT-01-00213,ROT-01,VEI-008,MOT-42,2025-10-01,189.9,False,21.2,349.38,37.77,19.22,2509.16
ROT-01-00214,ROT-01,VEI-048,MOT-03,2025-02-01,194.3,False,21.0,366.65,53.83,20.8,2740.9
ROT-01-00215,ROT-01,VEI-022,MOT-13,2025-08-01,194.5,False,29.0,394.61,35.65,25.97,2377.61
ROT-01-00216,ROT-01,VEI-051,MOT-31,2025-09-01,190.0,True,27.1,326.88,34.01,18.65,1483.88
ROT-01-00217,ROT-01,VEI-028,MOT-37,2025-08-01,194.7,False,24.0,338.23,46.54,17.98,2527.97
ROT-01-00218,ROT-01,VEI-018,MOT-30,2025-04-01,186.1,True,18.8,332.13,53.84,23.38,1525.57
ROT-01-00219,ROT-01,VEI-001,MOT-41,2025-03-01,194.4,False,28.8,422.57,60.22,19.42,2547.94
ROT-01-00220,ROT-01,VEI-056,MOT-16,2025-05-01,191.1,False,27.4,375.8,60.44,15.54,2284.54
ROT-01-00221,ROT-01,VEI-010,MOT-40,2025-12-01,186.3,True,29.3,360.25,39.08,22.4,1415.44
ROT-01-00222,ROT-01,VEI-026,MOT-16,2025-04-01,188.7,True,28.2,413.18,30.75,18.15,1345.91
ROT-01-00223,ROT-01,VEI-046,MOT-07,2025-10-01,195.0,False,24.8,388.09,56.31,24.16,2407.82
ROT-01-00224,ROT-01,VEI-012,MOT-44,2025-03-01,186.6,False,25.6,353.44,29.65,26.69,2337.79
ROT-01-00225,ROT-01,VEI-013,MOT-26,2025-02-01,194.9,False,24.6,404.63,53.6,24.79,2266.28
